100 100
0    1.30833140517 1.30308907701 NONE
1    -2.04338641687 -0.937475588191 NONE
2    1.54370846398 1.26066219242 NONE
3    -2.37368130247 1.37984840342 NONE
4    0.953591745907 0.192831609849 NONE
5    -1.81031563078 -2.92885344454 NONE
6    -0.608302455002 -1.85152287262 NONE
7    -1.55877236579 -0.637549778135 NONE
8    -2.09411255951 -1.99493660171 NONE
9    0.58346000411 1.05949084981 NONE
10    0.888932715304 0.364148257615 NONE
11    2.84474735658 0.538487617481 NONE
12    0.583165619982 -1.36648627535 NONE
13    1.09105000594 -2.31356693583 NONE
14    2.08970375306 -1.53220616245 NONE
15    0.934725623746 2.47468091983 NONE
16    0.673632432062 2.60250335557 NONE
17    -2.26757564207 -0.455868770965 NONE
18    1.88065735937 -0.619678132221 NONE
19    2.39114927375 2.39868748056 NONE
20    -2.15681480304 -2.12770299705 NONE
21    1.56453108762 -0.116706470753 NONE
22    2.16481355905 0.982417248576 NONE
23    1.23919213134 -2.92787698625 NONE
24    -2.12650181839 0.448329806126 NONE
25    -2.66308348348 -1.0404485919 NONE
26    0.0752847916676 0.115942129829 NONE
27    -2.02960199138 -2.50778430206 NONE
28    1.56406692246 1.32026408688 NONE
29    -2.85091475812 0.538905794262 NONE
30    0.354229709331 -0.61495379184 NONE
31    -0.70635931682 1.75134371772 NONE
32    -2.08726206285 -0.0773771186542 NONE
33    -1.65609673637 -0.0872496728953 NONE
34    -2.49345691225 2.01281166061 NONE
35    -2.62504222875 2.68019002817 NONE
36    -0.377569141343 2.96866376352 NONE
37    2.95058317407 -1.20376163238 NONE
38    -2.88368785829 2.30127452871 NONE
39    2.66227837228 -0.546493013519 NONE
40    2.79012697056 0.000853423149187 NONE
41    0.75013630084 2.8448583841 NONE
42    -1.98131028199 -0.567483570273 NONE
43    1.20872529424 -1.58211424532 NONE
44    2.80368223805 -2.51252748134 NONE
45    -2.39586628507 1.57586009249 NONE
46    1.32805457463 -2.56913296494 NONE
47    1.6228048335 2.96086743115 NONE
48    0.0886605555434 1.47512152685 NONE
49    -1.38074797839 -2.7211289193 NONE
50    -0.0624695680375 0.0219206179075 NONE
51    1.63372438567 -0.552890324637 NONE
52    -1.72663858326 2.42484251815 NONE
53    2.48392599822 0.968508456281 NONE
54    -1.86776105353 -0.661003976354 NONE
55    -2.65443482562 2.53478110655 NONE
56    -2.42627826038 2.26215267963 NONE
57    -1.62062943619 0.433788164894 NONE
58    2.04610010188 -1.6914825886 NONE
59    2.52818995623 -1.046540287 NONE
60    1.32183746744 2.60055599205 NONE
61    -1.19736694996 2.83561302099 NONE
62    2.08198198473 -2.50487242851 NONE
63    -1.83729304461 -1.81258824533 NONE
64    2.51702569307 0.582331459324 NONE
65    -0.911974834712 0.0354759130583 NONE
66    -1.46360276553 -1.67029547384 NONE
67    1.32352364611 0.964301642265 NONE
68    2.30827750929 -2.70366893077 NONE
69    -0.391452590768 1.57522438449 NONE
70    2.8524053592 0.528173642786 NONE
71    1.64580473762 1.37704337149 NONE
72    -0.691011638921 -2.65305041941 NONE
73    0.479160389915 1.10795278207 NONE
74    -1.32566550464 0.497317590357 NONE
75    -2.45906847164 2.74823039842 NONE
76    2.47378878473 -2.8313288713 NONE
77    1.8879813215 -0.388860162452 NONE
78    -1.89726075566 0.799485297844 NONE
79    1.93434446062 1.18179134271 NONE
80    0.758350349083 -1.7693414628 NONE
81    0.634369072349 0.607856419707 NONE
82    -2.14790979379 -0.497126108061 NONE
83    -1.03767684364 1.80824030045 NONE
84    1.85762730118 -0.0875851731144 NONE
85    -2.4203748952 0.0858185313454 NONE
86    0.512533502043 1.233530811 NONE
87    2.37146131924 1.07955050266 NONE
88    0.000107753355216 1.24736613429 NONE
89    -0.83136782596 1.78856759805 NONE
90    0.74297973388 -0.894829582157 NONE
91    -1.86516841273 2.3347529266 NONE
92    1.00116916388 -2.79898366739 NONE
93    -1.26511563739 -0.952367758049 NONE
94    0.426489506389 -2.56849075334 NONE
95    2.09877610296 1.96534759799 NONE
96    2.0187372116 -0.440101639479 NONE
97    0.405788072184 0.449497074313 NONE
98    -2.03659257627 1.02472136314 NONE
99    -2.63764887888 0.589291735897 NONE
65 50 74 33 7 93 26 57 54 42 30 32 97 82 78 24 1 17 88 85 81 66 98 6 90 69 10 4 73 9 12 48 31 86 89 63 99 83 25 29 3 8 80 45 21 20 67 43 51 72 0 49 27 84 91 77 94 52 18 34 2 28 96 13 71 56 5 61 79 16 36 15 22 38 92 14 46 58 55 75 35 41 64 87 23 59 53 60 39 95 40 11 70 62 37 47 68 19 76 44    -0.812158821001 -0.149295288745
20 8 27 63 5 66 49 25 1 54 42 93 82 17 72 7 6 32 33 85 24 65 57 29 99 94 74 78 12 30 80 98 50 26 90 92 13 3 43 23 46 45 97 4 81 10 34 88 83 69 89 31 51 73 9 48 56 58 21 62 38 86 14 91 18 52 77 55 68 84 96 35 67 76 75 59 0 61 44 2 28 39 71 37 79 36 22 40 64 16 15 87 53 11 70 41 60 95 47 19    -2.44430969304 -2.21742816217
41 16 15 60 47 36 48 95 19 86 0 69 71 28 88 73 2 31 9 61 89 67 83 79 81 22 87 52 97 10 53 91 4 26 64 50 75 21 11 70 74 56 84 34 35 65 98 55 78 45 57 3 77 40 30 51 96 38 18 24 90 33 39 99 32 85 7 29 12 59 93 42 54 82 17 43 14 37 80 1 58 6 66 25 13 63 94 46 62 8 92 72 44 20 68 23 76 49 27 5    0.748863473159 2.99827000006
34 45 56 3 38 55 91 35 75 52 98 78 99 29 24 83 61 89 57 85 31 74 32 33 69 17 82 36 65 42 88 54 48 7 1 25 50 93 73 86 26 9 97 16 81 41 15 66 10 63 30 4 0 8 60 67 20 2 28 6 71 90 47 27 12 79 21 95 49 22 84 51 5 72 80 19 77 87 18 43 53 96 64 94 11 13 70 40 39 14 58 59 92 46 23 37 62 68 76 44    -2.51707139648 1.87334804449
20 27 8 5 63 25 49 66 1 54 17 82 42 72 93 7 6 32 85 33 29 24 99 57 65 94 74 78 98 12 80 30 50 3 92 26 90 13 45 23 43 46 97 34 83 81 4 56 88 38 89 10 31 69 91 73 51 48 55 9 62 52 58 86 21 14 35 18 75 68 77 84 96 76 67 61 59 0 44 2 28 39 71 36 37 79 22 16 40 64 15 87 53 41 11 70 60 95 47 19    -2.99887745075 -2.51117681407
46 62 23 68 13 92 76 58 44 43 14 94 80 12 59 37 90 18 51 96 77 39 72 6 30 21 84 40 4 49 10 50 26 66 64 97 70 11 93 81 5 63 67 22 53 27 65 87 7 8 79 20 9 2 73 0 28 71 86 54 1 33 42 88 74 82 48 17 57 32 25 95 69 24 85 78 31 19 89 15 83 98 60 16 99 29 41 47 3 45 36 52 91 61 34 56 38 55 75 35    1.69319504649 -2.67149709469
12 6 80 90 30 94 43 13 72 93 66 92 46 50 26 23 49 7 63 65 51 4 58 14 97 18 54 21 10 8 1 77 62 20 27 42 33 5 81 96 84 82 74 68 59 17 32 57 9 76 73 25 39 88 67 86 44 37 24 85 48 78 0 40 69 2 28 64 98 22 79 71 31 99 89 70 11 53 87 83 29 3 45 95 15 16 91 60 52 34 41 56 36 61 19 47 38 55 75 35    0.0357928907741 -1.59668285405
31 36 89 69 83 61 48 16 88 52 41 91 15 86 73 9 60 56 74 75 98 34 81 0 45 97 78 3 35 47 55 57 67 28 2 26 71 65 50 10 38 24 4 95 79 33 99 19 32 22 85 29 30 87 7 21 53 42 82 54 17 84 93 90 64 51 77 1 96 11 18 70 12 40 25 66 6 39 43 80 63 59 8 14 58 20 13 37 94 72 27 49 46 92 5 62 23 68 44 76    -0.472047367672 2.33570246206
